augmentation,level,inlier_ratio,match_ratio,match_ratio_vs_baseline,n_good_matches,snr_db
low_light,1,0.5479741573033707,0.08375,0.08365407012569788,167.25280898876406,10.553017744554994
low_light,2,0.5293870786516854,0.08393258426966292,0.08342300911918063,166.7865168539326,7.841278823162658
low_light,3,0.532094382022472,0.08501516853932584,0.08251629864583433,164.97752808988764,5.812950553907091
low_light,4,0.5583932584269663,0.08785898876404494,0.07826499596744983,156.47191011235955,4.257417462098671
low_light,5,0.5618556179775281,0.09176348314606741,0.06609034200590973,132.12921348314606,3.0396933604443754
low_light,6,0.6149713483146068,0.0962561797752809,0.03221240218679434,64.40449438202248,2.0402020534987497
low_light,7,0.4434471590909091,0.11574602272727273,0.005172233511971828,10.335227272727273,1.2517431106116723
low_light,8,0.0,0.0,0.0,0.0,0.5938527864147957
motion_blur,1,0.5353550561797753,0.08534438202247191,0.08530733042866423,170.56741573033707,35.926751733574285
motion_blur,2,0.5420584269662921,0.08531685393258427,0.08505202152583259,170.0505617977528,31.413825395549516
motion_blur,3,0.5010292134831461,0.0857629213483146,0.08155358742683126,163.0505617977528,27.52062244919188
motion_blur,4,0.4867752808988764,0.08660898876404494,0.07753426212275732,155.0,26.421154276864865
motion_blur,5,0.4792185393258427,0.0923129213483146,0.06421790487076863,128.3876404494382,24.891162343707496
motion_blur,6,0.48048539325842693,0.09585393258426966,0.055950890325735976,111.84831460674157,24.321379391466497
motion_blur,7,0.4872741573033708,0.09984101123595505,0.0482100837781093,96.37078651685393,23.835211407895127
motion_blur,8,0.5348640449438202,0.10570224719101125,0.03522675006377113,70.41573033707866,23.0374948159651
motion_blur,9,0.5262466292134831,0.1078870786516854,0.029986675984434955,59.938202247191015,22.703601302233142
rain,1,0.5484516853932584,0.07783483146067416,0.07781602249641181,155.58988764044943,22.483184562127285
rain,2,0.5352719101123595,0.07449550561797752,0.07449068316428006,148.9494382022472,18.787916264845833
rain,3,0.5392505617977528,0.07090898876404494,0.07091330254267209,141.7921348314607,14.555173145498504
rain,4,0.5349651685393259,0.07013202247191011,0.0701344867486918,140.24157303370785,12.104258626926349
rain,5,0.5283724719101123,0.0693314606741573,0.06933725522566166,138.64044943820224,10.377703111807167
rain,6,0.5158651685393258,0.06887303370786517,0.06887234256269383,137.69662921348313,9.119892082471315
rain,7,0.5180202247191011,0.06861516853932584,0.06859969863394427,137.15168539325842,8.151154854176616
rain,8,0.5084601123595506,0.06890280898876404,0.06888490779485197,137.73033707865167,7.376067027302571
rain,9,0.510688202247191,0.06764662921348315,0.06761336590062038,135.18539325842696,6.724939281885097
